Tree,N,Mediana tempo (s)
BST,1000,6.039917934685946e-07
BST,1097,5.2098766900599e-07
BST,1204,6.459886208176613e-07
BST,1321,6.869959179311991e-07
BST,1450,6.249756552278996e-07
BST,1592,6.875197868794203e-07
BST,1747,6.874906830489635e-07
BST,1917,6.045156624168158e-07
BST,2104,6.250047590583563e-07
BST,2310,6.454647518694401e-07
BST,2535,7.290218491107225e-07
BST,2782,6.869959179311991e-07
BST,3053,7.084745448082685e-07
BST,3351,7.500057108700275e-07
BST,3678,6.874906830489635e-07
BST,4037,6.25033862888813e-07
BST,4430,7.920025382190943e-07
BST,4862,8.124916348606348e-07
BST,5336,6.874906830489635e-07
BST,5857,6.874906830489635e-07
BST,6428,8.750066626816988e-07
BST,7054,7.085036486387253e-07
BST,7742,7.50500475987792e-07
BST,8497,7.080088835209608e-07
BST,9326,7.500057108700275e-07
BST,10235,7.92031642049551e-07
BST,11233,7.29516614228487e-07
BST,12328,8.330098353326321e-07
BST,13530,8.755014277994633e-07
BST,14849,8.33999365568161e-07
BST,16297,8.954666554927826e-07
BST,17886,7.920025382190943e-07
BST,19630,8.540228009223938e-07
BST,21544,9.585346560925245e-07
BST,23644,8.330098353326321e-07
BST,25950,9.165087249130011e-07
BST,28480,7.085036486387253e-07
BST,31257,8.539936970919371e-07
BST,34304,9.169743862003088e-07
BST,37649,7.915077731013298e-07
BST,41320,8.954957593232393e-07
BST,45348,9.170034900307655e-07
BST,49770,1.00000761449337e-06
BST,54622,1.0624935384839773e-06
BST,59948,8.954957593232393e-07
BST,65793,9.374925866723061e-07
BST,72208,8.124916348606348e-07
BST,79248,9.374925866723061e-07
BST,86974,1.0204967111349106e-06
BST,95454,1.020991476252675e-06
BST,104761,9.170034900307655e-07
BST,114975,1.1040247045457363e-06
BST,126185,1.020991476252675e-06
BST,138488,1.00000761449337e-06
BST,151991,8.539936970919371e-07
BST,166810,8.749775588512421e-07
BST,183073,1.083506504073739e-06
BST,200923,9.579816833138466e-07
BST,220513,1.167005393654108e-06
BST,242012,9.585055522620678e-07
BST,265608,1.2085074558854103e-06
BST,291505,9.585055522620678e-07
BST,319926,1.083506504073739e-06
BST,351119,1.0210205800831318e-06
BST,385352,1.207983586937189e-06
BST,422924,9.170034900307655e-07
BST,464158,9.585346560925245e-07
BST,509413,1.1459633242338896e-06
BST,559081,1.0830117389559746e-06
BST,613590,1.0834774002432823e-06
BST,673415,1.0629883036017418e-06
BST,739072,1.1459633242338896e-06
BST,811130,1.1045194696635008e-06
BST,890215,1.146021531894803e-06
BST,977009,1.186999725177884e-06
BST,1072267,1.083506504073739e-06
BST,1176811,1.2500095181167126e-06
BST,1291549,1.1035299394279718e-06
BST,1417474,1.1669762898236513e-06
BST,1555676,1.1665106285363436e-06
BST,1707352,8.520495612174273e-06
BST,1873817,1.207983586937189e-06
BST,2056512,1.3125245459377766e-06
BST,2257019,1.0629883036017418e-06
BST,2477076,1.3544922694563866e-06
BST,2718588,1.1250085663050413e-06
BST,2983647,1.2090022210031748e-06
BST,3274549,1.3125245459377766e-06
BST,3593813,1.4789693523198366e-06
BST,3944206,1.2494856491684914e-06
BST,4328761,1.416512532159686e-06
BST,4750810,1.3129902072250843e-06
BST,5214008,1.2914533726871014e-06
BST,5722367,1.271488144993782e-06
BST,6280291,1.1249794624745846e-06
BST,6892612,1.270498614758253e-06
BST,7564633,1.437496393918991e-06
BST,8302175,1.4380202628672123e-06
BST,9111627,1.7705024220049381e-06
BST,10000000,1.2294913176447153e-06
AVL,1000,6.166985258460045e-06
AVL,1097,4.8749789129942656e-06
AVL,1204,4.6670029405504465e-06
AVL,1321,5.021021934226155e-06
AVL,1450,4.832982085645199e-06
AVL,1592,6.333022611215711e-06
AVL,1747,5.478999810293317e-06
AVL,1917,5.895999493077397e-06
AVL,2104,6.020971341058612e-06
AVL,2310,5.333509761840105e-06
AVL,2535,6.249989382922649e-06
AVL,2782,6.4159976318478584e-06
AVL,3053,6.353977369144559e-06
AVL,3351,6.562477210536599e-06
AVL,3678,6.145972292870283e-06
AVL,4037,5.62501372769475e-06
AVL,4430,6.770977051928639e-06
AVL,4862,6.500020390376449e-06
AVL,5336,6.541493348777294e-06
AVL,5857,7.374997949227691e-06
AVL,6428,7.2499969974160194e-06
AVL,7054,7.125025149434805e-06
AVL,7742,6.9995003286749125e-06
AVL,8497,7.062510121613741e-06
AVL,9326,7.021008059382439e-06
AVL,10235,7.374997949227691e-06
AVL,11233,6.854505045339465e-06
AVL,12328,7.375492714345455e-06
AVL,13530,7.27048609405756e-06
AVL,14849,7.89598561823368e-06
AVL,16297,7.395487045869231e-06
AVL,17886,7.624505087733269e-06
AVL,19630,7.208494935184717e-06
AVL,21544,7.479015039280057e-06
AVL,23644,6.874994141981006e-06
AVL,25950,7.5620191637426615e-06
AVL,28480,7.6669966802001e-06
AVL,31257,7.750000804662704e-06
AVL,34304,7.562484825029969e-06
AVL,37649,7.854483556002378e-06
AVL,41320,7.083493983373046e-06
AVL,45348,8.167000487446785e-06
AVL,49770,8.16650572232902e-06
AVL,54622,8.103990694507957e-06
AVL,59948,8.812494343146682e-06
AVL,65793,8.291535777971148e-06
AVL,72208,8.167000487446785e-06
AVL,79248,8.521019481122494e-06
AVL,86974,8.521019481122494e-06
AVL,95454,8.333998266607523e-06
AVL,104761,9.374984074383974e-06
AVL,114975,9.041483281180263e-06
AVL,126185,8.79148137755692e-06
AVL,138488,8.688017260283232e-06
AVL,151991,9.08400397747755e-06
AVL,166810,9.833485819399357e-06
AVL,183073,9.125011274591088e-06
AVL,200923,9.416486136615276e-06
AVL,220513,9.354000212624669e-06
AVL,242012,9.625480743125081e-06
AVL,265608,8.37500556372106e-06
AVL,291505,1.08119857031852e-05
AVL,319926,9.437469998374581e-06
AVL,351119,1.0937481420114636e-05
AVL,385352,1.0062998626381159e-05
AVL,422924,1.4061981346458197e-05
AVL,464158,9.854004019871354e-06
AVL,509413,9.874493116512895e-06
AVL,559081,1.0562536772340536e-05
AVL,613590,9.60347824729979e-06
AVL,673415,1.0104471584782004e-05
AVL,739072,1.004204386845231e-05
AVL,811130,1.068750862032175e-05
AVL,890215,1.0041985660791397e-05
