Tree,N,Mediana tempo (s)
BST,1000,8.515000331499323e-07
BST,1097,9.31500039769162e-07
BST,1204,1.099499968404416e-06
BST,1321,1.2904999948659679e-06
BST,1450,1.0880000331781048e-06
BST,1592,1.1854999684146605e-06
BST,1747,1.1364999750185234e-06
BST,1917,1.1014999472536147e-06
BST,2104,1.3069999909021135e-06
BST,2310,1.0514999644328782e-06
BST,2535,9.839999961513968e-07
BST,2782,1.265500031877309e-06
BST,3053,1.0295000265614362e-06
BST,3351,1.2735000041175226e-06
BST,3678,1.2890000107290689e-06
BST,4037,1.3150000199857459e-06
BST,4430,1.0905000067396031e-06
BST,4862,1.0089999591400556e-06
BST,5336,1.0759999895526562e-06
BST,5857,1.2130000186516554e-06
BST,6428,1.3050000120529148e-06
BST,7054,1.1815000107162632e-06
BST,7742,1.1550000067472865e-06
BST,8497,1.214999997500854e-06
BST,9326,1.3415000239547226e-06
BST,10235,9.729999987939664e-07
BST,11233,1.0840000186362886e-06
BST,12328,1.2460000107239466e-06
BST,13530,1.1624999842752004e-06
BST,14849,1.0504999750082789e-06
BST,16297,1.1474999723759538e-06
BST,17886,9.324999723503424e-07
BST,19630,1.1520000384734885e-06
BST,21544,1.1360000371496426e-06
BST,23644,1.1499999459374521e-06
BST,25950,1.08200003978709e-06
BST,28480,1.1954999763474916e-06
BST,31257,1.077500030532974e-06
BST,34304,1.239500022620632e-06
BST,37649,1.3565000358539692e-06
BST,41320,1.255500023944478e-06
BST,45348,1.0434999921926646e-06
BST,49770,1.0754999948403565e-06
BST,54622,1.1019999988093332e-06
BST,59948,1.2374999869280146e-06
BST,65793,1.1594999591579835e-06
BST,72208,1.200500037157326e-06
BST,79248,1.1640000252555183e-06
BST,86974,1.2255000001459848e-06
BST,95454,1.1899999776687764e-06
BST,104761,1.2335000292296172e-06
BST,114975,1.4865000252939353e-06
BST,126185,1.0665000331755436e-06
BST,138488,1.0865000490412058e-06
BST,151991,1.2739999988298223e-06
BST,166810,1.5704999896115623e-06
BST,183073,1.4995000015005644e-06
BST,200923,1.1640000252555183e-06
BST,220513,1.5374999975392711e-06
BST,242012,1.4049999776943878e-06
BST,265608,1.4569999962077418e-06
BST,291505,1.5139999618440925e-06
BST,319926,1.6050000226641714e-06
BST,351119,1.3980000517221924e-06
BST,385352,1.4930000133972499e-06
BST,422924,1.3160000094103452e-06
BST,464158,1.5475000054721022e-06
BST,509413,1.5809999354132742e-06
BST,559081,1.6985000002023298e-06
BST,613590,1.442000041151914e-06
BST,673415,1.6400000504290801e-06
BST,739072,1.7774999605535413e-06
BST,811130,1.8724999790720176e-06
BST,890215,1.5290000874301768e-06
BST,977009,1.7959999922823044e-06
BST,1072267,1.708500008135161e-06
BST,1176811,1.5445000371983042e-06
BST,1291549,1.8294999790668953e-06
BST,1417474,1.4185000054567354e-06
BST,1555676,1.6454999922643765e-06
BST,1707352,2.0385000425449107e-06
BST,1873817,1.4585001508748974e-06
BST,2056512,2.287000029355113e-06
BST,2257019,2.0425001139301457e-06
BST,2477076,1.8294999790668953e-06
BST,2718588,2.43900001350994e-06
BST,2983647,2.116499899784685e-06
BST,3274549,1.7314998785877833e-06
BST,3593813,1.922000137710711e-06
BST,3944206,1.8544999420555541e-06
BST,4328761,2.042500000243308e-06
BST,4750810,1.8215000636701006e-06
BST,5214008,1.9799999790848233e-06
BST,5722367,1.9774997781496495e-06
BST,6280291,2.1020000531279948e-06
BST,6892612,2.0174998098809738e-06
BST,7564633,1.8569999156170525e-06
BST,8302175,2.162500095437281e-06
BST,9111627,2.1670002752216533e-06
BST,10000000,2.8439994821383152e-06
AVL,1000,6.944499943983828e-06
AVL,1097,1.1754500008009927e-05
AVL,1204,7.427500008816423e-06
AVL,1321,7.255500008795934e-06
AVL,1450,7.184999958553817e-06
AVL,1592,9.052999985215138e-06
AVL,1747,7.772000003569701e-06
AVL,1917,8.839999964038725e-06
AVL,2104,7.854999978462729e-06
AVL,2310,8.15900006045922e-06
AVL,2535,7.426500019391824e-06
AVL,2782,8.349999973233935e-06
AVL,3053,7.692999986375071e-06
AVL,3351,7.896499994330952e-06
AVL,3678,7.744500010176125e-06
AVL,4037,8.342499995706021e-06
AVL,4430,8.248000028743263e-06
AVL,4862,7.76349997977377e-06
AVL,5336,7.5545000299825915e-06
AVL,5857,8.223499946780066e-06
AVL,6428,9.19749999184205e-06
AVL,7054,8.797000020877022e-06
AVL,7742,7.890999995652237e-06
AVL,8497,8.30800001949683e-06
AVL,9326,7.958000026064838e-06
AVL,10235,8.318499965298543e-06
AVL,11233,8.938500002386718e-06
AVL,12328,7.353000000875909e-06
AVL,13530,8.19500002080531e-06
AVL,14849,8.49100001687475e-06
AVL,16297,8.60649998912777e-06
AVL,17886,1.0789999976168474e-05
