Tree,N,Mediana tempo (s)
BST,1000,6.249902071431279e-07
BST,1097,5.414913175627589e-07
BST,1204,6.659975042566657e-07
BST,1321,5.415058694779873e-07
BST,1450,6.67001586407423e-07
BST,1592,6.249902071431279e-07
BST,1747,6.874906830489635e-07
BST,1917,7.079943316057324e-07
BST,2104,6.455084076151252e-07
BST,2310,7.085036486387253e-07
BST,2535,8.124916348606348e-07
BST,2782,7.084890967234969e-07
BST,3053,6.874906830489635e-07
BST,3351,8.335046004503965e-07
BST,3678,7.915077731013298e-07
BST,4037,7.704948075115681e-07
BST,4430,7.085036486387253e-07
BST,4862,7.920025382190943e-07
BST,5336,8.329952834174037e-07
BST,5857,7.710041245445609e-07
BST,6428,6.660120561718941e-07
BST,7054,6.664922693744302e-07
BST,7742,8.329952834174037e-07
BST,8497,7.499911589547992e-07
BST,9326,7.704948075115681e-07
BST,10235,8.955103112384677e-07
BST,11233,7.295020623132586e-07
BST,12328,8.124916348606348e-07
BST,13530,8.124916348606348e-07
BST,14849,8.959905244410038e-07
BST,16297,7.295020623132586e-07
BST,17886,8.954957593232393e-07
BST,19630,8.335046004503965e-07
BST,21544,9.164941729977727e-07
BST,23644,8.33999365568161e-07
BST,25950,9.374780347570777e-07
BST,28480,8.540082490071654e-07
BST,31257,7.914932211861014e-07
BST,34304,8.33999365568161e-07
BST,37649,9.999930625781417e-07
BST,41320,1.041495124809444e-06
BST,45348,8.545030141249299e-07
BST,49770,8.540082490071654e-07
BST,54622,9.169889381155372e-07
BST,59948,9.170034900307655e-07
BST,65793,8.960050763562322e-07
BST,72208,9.164941729977727e-07
BST,79248,1.0210060281679034e-06
BST,86974,1.1250085663050413e-06
BST,95454,8.545030141249299e-07
BST,104761,8.959905244410038e-07
BST,114975,8.750066626816988e-07
BST,126185,1.020511263050139e-06
BST,138488,9.585055522620678e-07
BST,151991,1.0625080903992057e-06
BST,166810,1.00000761449337e-06
BST,183073,1.1244846973568201e-06
BST,200923,1.0204821592196822e-06
BST,220513,1.0419898899272084e-06
BST,242012,9.784998837858438e-07
BST,265608,1.1045049177482724e-06
BST,291505,1.083506504073739e-06
BST,319926,9.580107871443033e-07
BST,351119,1.00000761449337e-06
BST,385352,1.271007931791246e-06
BST,422924,1.0210060281679034e-06
BST,464158,1.0420044418424368e-06
BST,509413,1.250504283234477e-06
BST,559081,1.1255033314228058e-06
BST,613590,1.0420044418424368e-06
BST,673415,1.0204967111349106e-06
BST,739072,1.187509042210877e-06
BST,811130,1.1460069799795747e-06
BST,890215,1.1870142770931125e-06
BST,977009,1.1874944902956486e-06
